termo,site,ano,titulo,data,link,link_base
queimada,www.publico.pt,2017,Formação trava tentação de voltar à estaca zero - PÚBLICO,2017-06-07 17:52:06,https://arquivo.pt/noFrame/replay/20170607175206/https://www.publico.pt/2017/06/07/desporto/noticia/formacao-trava-tentacao-de-voltar-a-estaca-zero-1774836,
queimada,www.publico.pt,2017,Investigador defende zonas-tampão de folhosas em redor das aldeias de Pedrógão - PÚBLICO,2017-06-27 18:08:35,https://arquivo.pt/noFrame/replay/20170627180835/https://www.publico.pt/2017/06/27/ecosfera/noticia/investigador-defende-zonastampao-de-folhosas-em-redor-das-aldeias-de-pedrogao-grande-1777056,
queimada,www.publico.pt,2017,Investigador defende zonas-tampão de folhosas em redor das aldeias de Pedrógão - PÚBLICO,2017-06-28 18:08:49,https://arquivo.pt/noFrame/replay/20170628180849/https://www.publico.pt/2017/06/27/ecosfera/noticia/investigador-defende-zonastampao-de-folhosas-em-redor-das-aldeias-de-pedrogao-grande-1777056,
queimada,www.publico.pt,2017,Facebook cede e permite partilha de fotografia histórica da Guerra do Vietname - PÚBLICO,2017-04-08 07:14:33,https://arquivo.pt/noFrame/replay/20170408071433/https://www.publico.pt/2016/09/09/tecnologia/noticia/jornal-acusa-zuckerberg-de-abuso-de-poder-apos-facebook-proibir-foto-historica-1743665,
queimada,www.publico.pt,2017,Facebook cede e permite partilha de fotografia histórica da Guerra do Vietname - PÚBLICO,2017-04-06 03:51:40,https://arquivo.pt/noFrame/replay/20170406035140/https://www.publico.pt/2016/09/09/tecnologia/noticia/jornal-acusa-zuckerberg-de-abuso-de-poder-apos-facebook-proibir-foto-historica-1743665,
queimada,www.cmjornal.pt,2017,Mais Sobre queimada - Correio da Manhã,2017-11-19 05:25:48,https://arquivo.pt/noFrame/replay/20171119052548/https://www.cmjornal.pt//maissobre/queimada,
queimada,www.cmjornal.pt,2017,Mulher morre queimada com caramelo derretido,2017-10-24 20:03:01,https://arquivo.pt/noFrame/replay/20171024200301/http://www.cmjornal.pt/mundo/amp/mulher-morre-queimada-por-caramelo-derretido,http://www.cmjornal.pt/mundo/amp/mulher-morre-queimada-por-caramelo-derretido
queimada,www.cmjornal.pt,2017,Tiroteio em zona industrial de Orlando faz cinco mortos - Mundo - Correio da Manhã,2017-06-06 01:24:31,https://arquivo.pt/noFrame/replay/20170606012431/http://www.cmjornal.pt/mundo/detalhe/tiroteio-em-zona-industrial-de-orlando-faz-varios-mortos?ref=Portugal_BlocoTopoPagina,http://www.cmjornal.pt/mundo/detalhe/tiroteio-em-zona-industrial-de-orlando-faz-varios-mortos?ref=Portugal_BlocoTopoPagina
queimada,www.cmjornal.pt,2017,Tiroteio em zona industrial de Orlando faz cinco mortos - Mundo - Correio da Manhã,2017-06-05 23:30:39,https://arquivo.pt/noFrame/replay/20170605233039/http://www.cmjornal.pt/mundo/detalhe/tiroteio-em-zona-industrial-de-orlando-faz-varios-mortos?ref=Sociedade_BlocoTopoPagina,http://www.cmjornal.pt/mundo/detalhe/tiroteio-em-zona-industrial-de-orlando-faz-varios-mortos?ref=Sociedade_BlocoTopoPagina
queimada,www.cmjornal.pt,2017,Operação Marquês: Zeinal Bava e Henrique Granadeiro constituidos arguidos - Cm ao Minuto - Correio d,2017-02-25 04:56:43,https://arquivo.pt/noFrame/replay/20170225045643/http://www.cmjornal.pt/cm-ao-minuto/detalhe/operacao-marques-zeinal-bava-e-henrique-granadeiro-constituidos-arguidos?ref=cmaominuto_timeline&act=0&est=Aberto,http://www.cmjornal.pt/cm-ao-minuto/detalhe/operacao-marques-zeinal-bava-e-henrique-granadeiro-constituidos-arguidos?ref=cmaominuto_timeline&act=0&est=Aberto
queimada,www.cmjornal.pt,2017,Rússia vence a Nova Zelândia no jogo de abertura - Taça das Confederações - Correio da Manhã,2017-06-19 20:44:32,https://arquivo.pt/noFrame/replay/20170619204432/http://www.cmjornal.pt/desporto/taca-das-confederacoes/detalhe/russia-vence-a-nova-zelandia-no-jogo-de-abertura?ref=HP_Desporto&act=0&est=Aberto,http://www.cmjornal.pt/desporto/taca-das-confederacoes/detalhe/russia-vence-a-nova-zelandia-no-jogo-de-abertura?ref=HP_Desporto&act=0&est=Aberto
queimada,www.cmjornal.pt,2017,"Bolsa de Xangai abriu em queda de 0,07% - Cm ao Minuto - Correio da Manhã",2017-02-25 18:09:53,https://arquivo.pt/noFrame/replay/20170225180953/http://www.cmjornal.pt//cm-ao-minuto/detalhe/bolsa-de-xangai-abriu-em-queda-de-007,http://www.cmjornal.pt//cm-ao-minuto/detalhe/bolsa-de-xangai-abriu-em-queda-de-007
